Year,Rk,TeamName,Seed,AdjEM,AdjO,AdjD,AdjT,SOS-AdjEM,SOS-OppO,SOS-OppD,NCSOS-AdjEM,Tempo-Adj,Avg. Poss Length-Offense,Avg. Poss Length-Defense,Off. Efficiency-Adj,Off. Efficiency-Raw,Def. Efficiency-Adj,Def. Efficiency-Raw,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,Experience,Bench,Continuity,Off-FT,Off-2P,Off-3P,Def-FT,Def-2P,Def-3P
2012,21,Gonzaga,7,18.39,113.1,94.7,64.8,2.08,104.9,102.8,1.05,64.8,17.9,18.1,113.1,109.9,94.7,94,53.6,19.5,33.8,46.2,46.5,19.2,27.1,27.5,77,1.25,32.6,50.8,23.6,49.9,26.5,16.6,54.9,28.5
2012,41,Harvard,12,14.34,108.8,94.4,60.7,-0.87,101.4,102.2,0.65,60.7,19.7,19.7,108.8,105.4,94.4,90,52.5,20.2,30.1,42,45.4,19.8,25.4,30.2,76.8,2.33,30,77.8,23.1,49.8,27.1,17.9,57.1,25.1
2012,9,Indiana,4,22.55,120.2,97.6,66.7,8.41,107.4,99,-4.96,66.7,17.2,18.5,120.2,113.8,97.6,98.5,55.2,18.9,34.6,44.5,48.1,20,30.1,34.3,78.1,1.99,30.7,69.3,23.5,51.8,24.7,20,52.5,27.5
2012,26,Iowa State,8,16.69,113.9,97.2,65.8,7.22,107,99.8,-4.08,65.8,16.9,18.6,113.9,108,97.2,99.2,52.6,18.2,32.2,38.7,48.6,17.3,26,26.5,76.9,1.71,24.5,32.8,20.2,44.5,35.3,16,58.7,25.3
2012,4,Kansas,2,26.91,114,87.1,66.3,11.15,108.8,97.6,5.21,66.3,16.8,18.6,114,108.1,87.1,90.6,52.3,19.1,34,39.8,43.4,20.2,28.7,33.1,78.2,1.49,22.7,32.1,20.8,55.9,23.2,21.6,49,29.4
2012,23,Kansas State,8,17.52,109.8,92.3,66.5,7.98,107,99.1,-3.29,66.5,18.2,17.4,109.8,103.7,92.3,93.8,48.9,21,40.5,43.2,46,23.3,32.1,41.8,76.9,1.42,35.1,62.6,22.9,53.7,23.4,23.8,50.9,25.3
2012,1,Kentucky,1,32.59,122.2,89.6,65.4,7.99,106.8,98.8,-1.06,65.4,17.8,18.2,122.2,115.9,89.6,90.8,53.8,16.9,37.3,41.7,42,17.5,30.1,25.8,78.8,1.18,21.6,44,21.9,56.3,21.8,17.6,55.3,27.1
2012,162,LIU,16,0.75,108.7,107.9,73.4,-5.25,99.8,105,-2.27,73.4,14.9,17.2,108.7,107.4,107.9,102.4,53.2,21.2,33.3,49.7,49.4,18.3,33.9,22,74.5,2.02,24.9,71.7,25.4,50.2,24.4,13.4,62.8,23.7
2012,79,Lehigh,15,9.29,108.6,99.3,67.6,-5.57,100.3,105.8,-5.17,67.6,16,19.1,108.6,108.2,99.3,94.3,50.4,16.3,29.9,38,47.2,21.1,29.2,33.7,76.6,1.69,34,66.1,22.4,48.6,28.9,20.1,52.5,27.4
2012,36,Long Beach State,12,15.27,111.7,96.4,66.4,1.25,104,102.8,14.84,66.4,16.4,19.1,111.7,108.3,96.4,95,52.3,18.9,33.9,42.5,47.7,21.6,30.6,27.9,76.5,2.8,20.9,71,21.4,52,26.6,16.9,54.5,28.6
2012,17,Louisville,4,20.67,106.2,85.5,66.1,10.06,108.6,98.6,0.11,66.1,17.1,18.5,106.2,99.5,85.5,89.2,47.3,20.7,35.3,36.2,43.3,22.9,33.1,34.3,76.2,1.66,18.3,46.8,20.8,53.5,25.6,20.8,52.4,26.8
2012,129,Loyola (MD),15,3.91,103.9,100,63.6,-2.7,101.8,104.5,-0.69,63.6,19.1,17.5,103.9,102.2,100,97.2,47.2,20.5,37.6,43,47.7,21.9,32.8,39.9,76.6,1.67,27.6,65.4,24.7,53.2,22.1,22.4,53.9,23.8
2012,18,Marquette,3,20.22,111.5,91.3,70,8.24,106.6,98.3,-0.95,70,15.6,18.3,111.5,105.3,91.3,92.5,50.1,18.5,33.2,40.9,45.4,23.3,35.2,30.6,76.2,1.34,27.9,55.4,22.7,54.4,22.9,18.8,53.6,27.7
